flight_id,airline,flight_type,planned_departure,real_departure,planned_arrival,real_arrival,origin_airport,origin_city,origin_state,origin_country,destination_airport,destination_city,destination_state,destination_country,price
JA000019,JETSMART,National,2023-12-14T23:45:00Z,2023-12-14T23:45:00Z,2023-12-15T01:45:00Z,2023-12-15T01:45:00Z,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,Formosa,Formosa,P,Argentina,02500355+
JA000020,JETSMART,National,2023-12-24T04:30:00Z,2023-12-24T04:30:00Z,2023-12-24T06:30:00Z,2023-12-24T06:30:00Z,General Pico,General Pico,L,Argentina,San Rafael,San Rafael,M,Argentina,00366253+
JA000021,JETSMART,National,2023-12-07T21:30:00Z,2023-12-07T21:30:00Z,2023-12-07T23:30:00Z,2023-12-07T23:30:00Z,Aeroparque,Ciudad de Buenos Aires,C,Argentina,Puerto Madryn,Puerto Madryn,U,Argentina,03441689+
JA000022,JETSMART,National,2023-12-29T16:55:00Z,2023-12-29T16:55:00Z,2023-12-29T18:55:00Z,2023-12-29T18:55:00Z,Iguazu,Puerto Iguazu,N,Argentina,San Rafael,San Rafael,M,Argentina,03618463+
JA000023,JETSMART,National,2023-12-22T12:50:00Z,2023-12-22T12:50:00Z,2023-12-22T14:50:00Z,2023-12-22T14:50:00Z,Santa Rosa,Santa Rosa,L,Argentina,Malargue,Malargue,M,Argentina,00442593+
JA000024,JETSMART,National,2023-12-14T16:15:00Z,2023-12-14T16:15:00Z,2023-12-14T18:15:00Z,2023-12-14T18:15:00Z,Rio Hondo,Termas de Rio Hondo,G,Argentina,Malargue,Malargue,M,Argentina,02993971+
JA000025,JETSMART,National,2023-12-18T01:30:00Z,2023-12-18T01:30:00Z,2023-12-18T03:30:00Z,2023-12-18T03:30:00Z,Posadas,Posadas,N,Argentina,Malargue,Malargue,M,Argentina,02699973+
JA000026,JETSMART,National,2023-12-09T20:25:00Z,2023-12-09T20:25:00Z,2023-12-09T22:25:00Z,2023-12-09T22:25:00Z,San Juan,San Juan,J,Argentina,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,00427523+
JA000027,JETSMART,National,2024-01-03T05:55:00Z,2024-01-03T05:55:00Z,2024-01-03T07:55:00Z,2024-01-03T07:55:00Z,La Rioja,La Rioja,F,Argentina,Viedma,Viedma,R,Argentina,02922031+
JA000028,JETSMART,National,2023-12-12T11:40:00Z,2023-12-12T11:40:00Z,2023-12-12T13:40:00Z,2023-12-12T13:40:00Z,Esquel,Esquel,U,Argentina,Puerto Madryn,Puerto Madryn,U,Argentina,02810034+
JA000029,JETSMART,National,2023-12-29T13:20:00Z,2023-12-29T13:20:00Z,2023-12-29T15:20:00Z,2023-12-29T15:20:00Z,Aeroparque,Ciudad de Buenos Aires,C,Argentina,San Luis,San Luis,D,Argentina,03640559+
JA000030,JETSMART,National,2023-12-27T18:20:00Z,2023-12-27T18:20:00Z,2023-12-27T20:20:00Z,2023-12-27T20:20:00Z,San Juan,San Juan,J,Argentina,San Fernando,San Fernando,B,Argentina,04051966+
JA000031,JETSMART,National,2023-12-30T03:10:00Z,2023-12-30T03:10:00Z,2023-12-30T05:10:00Z,2023-12-30T05:10:00Z,Parana,Parana,E,Argentina,Aeroparque,Ciudad de Buenos Aires,C,Argentina,03559172+
JA000032,JETSMART,National,2023-12-07T22:50:00Z,2023-12-07T22:50:00Z,2023-12-08T00:50:00Z,2023-12-08T00:50:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,Reconquista,Reconquista,S,Argentina,03454887+
JA000033,JETSMART,National,2023-12-20T16:30:00Z,2023-12-20T16:30:00Z,2023-12-20T18:30:00Z,2023-12-20T18:30:00Z,San Juan,San Juan,J,Argentina,Puerto Madryn,Puerto Madryn,U,Argentina,00368950+
JA000034,JETSMART,National,2023-12-07T03:10:00Z,2023-12-07T03:10:00Z,2023-12-07T05:10:00Z,2023-12-07T05:10:00Z,Cordoba,Cordoba,X,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,04486868+
JA000035,JETSMART,National,2023-12-11T16:35:00Z,2023-12-11T16:35:00Z,2023-12-11T18:35:00Z,2023-12-11T18:35:00Z,Rio Hondo,Termas de Rio Hondo,G,Argentina,Cordoba,Cordoba,X,Argentina,03991205+
JA000036,JETSMART,National,2023-12-14T23:50:00Z,2023-12-14T23:50:00Z,2023-12-15T01:50:00Z,2023-12-15T01:50:00Z,Esquel,Esquel,U,Argentina,Santiago del Estero,Santiago del Estero,G,Argentina,04475871+
JA000037,JETSMART,National,2023-12-09T21:50:00Z,2023-12-09T21:50:00Z,2023-12-09T23:50:00Z,2023-12-09T23:50:00Z,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,Tucuman,San Miguel de Tucuman,T,Argentina,03288546+
JA000038,JETSMART,National,2024-01-03T18:50:00Z,2024-01-03T18:50:00Z,2024-01-03T20:50:00Z,2024-01-03T20:50:00Z,Esquel,Esquel,U,Argentina,Ezeiza,Buenos Aires,B,Argentina,03757685+
JA000039,JETSMART,National,2023-12-28T10:50:00Z,2023-12-28T10:50:00Z,2023-12-28T12:50:00Z,2023-12-28T12:50:00Z,Esquel,Esquel,U,Argentina,San Juan,San Juan,J,Argentina,00368609+
JA000040,JETSMART,National,2023-12-23T20:35:00Z,2023-12-23T20:35:00Z,2023-12-23T22:35:00Z,2023-12-23T22:35:00Z,Villa Mercedes,Villa Mercedes,D,Argentina,Santa Rosa,Santa Rosa,L,Argentina,04448115+
JA000041,JETSMART,National,2023-12-28T10:40:00Z,2023-12-28T10:40:00Z,2023-12-28T12:40:00Z,2023-12-28T12:40:00Z,Rio Grande,Rio Grande,V,Argentina,General Pico,General Pico,L,Argentina,03282398+
JA000042,JETSMART,National,2023-12-31T06:45:00Z,2023-12-31T06:45:00Z,2023-12-31T08:45:00Z,2023-12-31T08:45:00Z,Santa Rosa,Santa Rosa,L,Argentina,Esquel,Esquel,U,Argentina,03888791+
JA000043,JETSMART,National,2023-12-16T10:45:00Z,2023-12-16T10:45:00Z,2023-12-16T12:45:00Z,2023-12-16T12:45:00Z,Salta,Salta,A,Argentina,Esquel,Esquel,U,Argentina,02817748+
JA000044,JETSMART,National,2023-12-25T00:00:00Z,2023-12-25T00:00:00Z,2023-12-25T02:00:00Z,2023-12-25T02:00:00Z,Formosa,Formosa,P,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,02970607+
JA000045,JETSMART,National,2023-12-25T00:25:00Z,2023-12-25T00:25:00Z,2023-12-25T02:25:00Z,2023-12-25T02:25:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,El Palomar,Buenos Aires,B,Argentina,04276263+
JA000046,JETSMART,National,2023-12-13T08:35:00Z,2023-12-13T08:35:00Z,2023-12-13T10:35:00Z,2023-12-13T10:35:00Z,El Palomar,Buenos Aires,B,Argentina,Mendoza,Mendoza,M,Argentina,03617137+
JA000047,JETSMART,National,2023-12-28T03:15:00Z,2023-12-28T03:15:00Z,2023-12-28T05:15:00Z,2023-12-28T05:15:00Z,Santa Rosa,Santa Rosa,L,Argentina,Formosa,Formosa,P,Argentina,03961936+
JA000048,JETSMART,National,2024-01-03T01:20:00Z,2024-01-03T01:20:00Z,2024-01-03T03:20:00Z,2024-01-03T03:20:00Z,Cordoba,Cordoba,X,Argentina,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,02927536+
JA000049,JETSMART,National,2023-12-24T12:45:00Z,2023-12-24T12:45:00Z,2023-12-24T14:45:00Z,2023-12-24T14:45:00Z,La Rioja,La Rioja,F,Argentina,Viedma,Viedma,R,Argentina,03248627+
JA000050,JETSMART,National,2023-12-20T12:15:00Z,2023-12-20T12:15:00Z,2023-12-20T14:15:00Z,2023-12-20T14:15:00Z,Parana,Parana,E,Argentina,San Luis,San Luis,D,Argentina,03230318+
JA000051,JETSMART,National,2023-12-14T20:00:00Z,2023-12-14T20:00:00Z,2023-12-14T22:00:00Z,2023-12-14T22:00:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,Iguazu,Puerto Iguazu,N,Argentina,03609106+
JA000052,JETSMART,National,2023-12-28T04:55:00Z,2023-12-28T04:55:00Z,2023-12-28T06:55:00Z,2023-12-28T06:55:00Z,Resistencia,Resistencia,H,Argentina,Malargue,Malargue,M,Argentina,04179332+
JA000053,JETSMART,National,2023-12-19T20:35:00Z,2023-12-19T20:35:00Z,2023-12-19T22:35:00Z,2023-12-19T22:35:00Z,Rio Grande,Rio Grande,V,Argentina,Santiago del Estero,Santiago del Estero,G,Argentina,02704972+
JA000054,JETSMART,National,2024-01-02T11:35:00Z,2024-01-02T11:35:00Z,2024-01-02T13:35:00Z,2024-01-02T13:35:00Z,Aeroparque,Ciudad de Buenos Aires,C,Argentina,La Rioja,La Rioja,F,Argentina,02840836+
JA000055,JETSMART,National,2023-12-21T15:50:00Z,2023-12-21T15:50:00Z,2023-12-21T17:50:00Z,2023-12-21T17:50:00Z,Viedma,Viedma,R,Argentina,Puerto Madryn,Puerto Madryn,U,Argentina,03639437+
JA000056,JETSMART,National,2023-12-09T21:05:00Z,2023-12-09T21:05:00Z,2023-12-09T23:05:00Z,2023-12-09T23:05:00Z,Mendoza,Mendoza,M,Argentina,Posadas,Posadas,N,Argentina,00359437+
JA000057,JETSMART,National,2023-12-07T11:50:00Z,2023-12-07T11:50:00Z,2023-12-07T13:50:00Z,2023-12-07T13:50:00Z,Resistencia,Resistencia,H,Argentina,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,04317144+
JA000058,JETSMART,National,2023-12-24T23:50:00Z,2023-12-24T23:50:00Z,2023-12-25T01:50:00Z,2023-12-25T01:50:00Z,Posadas,Posadas,N,Argentina,General Pico,General Pico,L,Argentina,04141971+
JA000059,JETSMART,National,2023-12-17T20:45:00Z,2023-12-17T20:45:00Z,2023-12-17T22:45:00Z,2023-12-17T22:45:00Z,Viedma,Viedma,R,Argentina,Rio Gallegos,Rio Gallegos,Z,Argentina,04389689+
JA000060,JETSMART,National,2023-12-15T10:05:00Z,2023-12-15T10:05:00Z,2023-12-15T12:05:00Z,2023-12-15T12:05:00Z,Rio Grande,Rio Grande,V,Argentina,Rio Cuarto,Rio Cuarto,X,Argentina,04038185+
JA000061,JETSMART,National,2023-12-30T12:05:00Z,2023-12-30T12:05:00Z,2023-12-30T14:05:00Z,2023-12-30T14:05:00Z,Posadas,Posadas,N,Argentina,Villa Mercedes,Villa Mercedes,D,Argentina,03529385+
JA000062,JETSMART,National,2023-12-18T14:45:00Z,2023-12-18T14:45:00Z,2023-12-18T16:45:00Z,2023-12-18T16:45:00Z,Villa Mercedes,Villa Mercedes,D,Argentina,Resistencia,Resistencia,H,Argentina,03234736+
JA000063,JETSMART,National,2023-12-06T00:35:00Z,2023-12-06T00:35:00Z,2023-12-06T02:35:00Z,2023-12-06T02:35:00Z,Posadas,Posadas,N,Argentina,Cordoba,Cordoba,X,Argentina,02769932+
JA000064,JETSMART,National,2023-12-27T16:35:00Z,2023-12-27T16:35:00Z,2023-12-27T18:35:00Z,2023-12-27T18:35:00Z,Cordoba,Cordoba,X,Argentina,Resistencia,Resistencia,H,Argentina,03906117+
JA000065,JETSMART,National,2023-12-15T13:35:00Z,2023-12-15T13:35:00Z,2023-12-15T15:35:00Z,2023-12-15T15:35:00Z,San Rafael,San Rafael,M,Argentina,La Rioja,La Rioja,F,Argentina,03382819+
JA000066,JETSMART,National,2023-12-06T10:25:00Z,2023-12-06T10:25:00Z,2023-12-06T12:25:00Z,2023-12-06T12:25:00Z,Cordoba,Cordoba,X,Argentina,Salta,Salta,A,Argentina,04004706+
JA000067,JETSMART,National,2024-01-03T08:40:00Z,2024-01-03T08:40:00Z,2024-01-03T10:40:00Z,2024-01-03T10:40:00Z,Villa Mercedes,Villa Mercedes,D,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,04306664+
JA000068,JETSMART,National,2023-12-17T06:00:00Z,2023-12-17T06:00:00Z,2023-12-17T08:00:00Z,2023-12-17T08:00:00Z,Reconquista,Reconquista,S,Argentina,Mar del Plata,Mar del Plata,B,Argentina,03694496+
JA000069,JETSMART,National,2024-01-01T21:05:00Z,2024-01-01T21:05:00Z,2024-01-01T23:05:00Z,2024-01-01T23:05:00Z,Tucuman,San Miguel de Tucuman,T,Argentina,Rio Hondo,Termas de Rio Hondo,G,Argentina,03588888+
JA000070,JETSMART,National,2023-12-30T05:15:00Z,2023-12-30T05:15:00Z,2023-12-30T07:15:00Z,2023-12-30T07:15:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,General Pico,General Pico,L,Argentina,03730613+
JA000071,JETSMART,National,2023-12-27T16:15:00Z,2023-12-27T16:15:00Z,2023-12-27T18:15:00Z,2023-12-27T18:15:00Z,Salta,Salta,A,Argentina,Puerto Madryn,Puerto Madryn,U,Argentina,02962597+
JA000072,JETSMART,National,2023-12-31T23:25:00Z,2023-12-31T23:25:00Z,2024-01-01T01:25:00Z,2024-01-01T01:25:00Z,San Juan,San Juan,J,Argentina,Jujuy,San Salvador de Jujuy,Y,Argentina,02585536+
JA000073,JETSMART,National,2023-12-17T08:15:00Z,2023-12-17T08:15:00Z,2023-12-17T10:15:00Z,2023-12-17T10:15:00Z,Jujuy,San Salvador de Jujuy,Y,Argentina,San Juan,San Juan,J,Argentina,03012111+
JA000074,JETSMART,National,2023-12-16T16:45:00Z,2023-12-16T16:45:00Z,2023-12-16T18:45:00Z,2023-12-16T18:45:00Z,San Luis,San Luis,D,Argentina,Bariloche,San Carlos de Bariloche,R,Argentina,03965129+
JA000075,JETSMART,National,2023-12-28T08:05:00Z,2023-12-28T08:05:00Z,2023-12-28T10:05:00Z,2023-12-28T10:05:00Z,San Fernando,San Fernando,B,Argentina,Rio Cuarto,Rio Cuarto,X,Argentina,00372161+
JA000076,JETSMART,National,2023-12-20T14:15:00Z,2023-12-20T14:15:00Z,2023-12-20T16:15:00Z,2023-12-20T16:15:00Z,Bariloche,San Carlos de Bariloche,R,Argentina,Posadas,Posadas,N,Argentina,02740592+
JA000077,JETSMART,National,2023-12-17T03:40:00Z,2023-12-17T03:40:00Z,2023-12-17T05:40:00Z,2023-12-17T05:40:00Z,Formosa,Formosa,P,Argentina,Malargue,Malargue,M,Argentina,04204874+
JA000078,JETSMART,National,2023-12-11T13:10:00Z,2023-12-11T13:10:00Z,2023-12-11T15:10:00Z,2023-12-11T15:10:00Z,General Pico,General Pico,L,Argentina,Cordoba,Cordoba,X,Argentina,04417237+
JA000079,JETSMART,National,2023-12-07T21:40:00Z,2023-12-07T21:40:00Z,2023-12-07T23:40:00Z,2023-12-07T23:40:00Z,Malargue,Malargue,M,Argentina,San Rafael,San Rafael,M,Argentina,02729891+
JA000080,JETSMART,National,2023-12-18T13:20:00Z,2023-12-18T13:20:00Z,2023-12-18T15:20:00Z,2023-12-18T15:20:00Z,Mar del Plata,Mar del Plata,B,Argentina,General Pico,General Pico,L,Argentina,02533745+
JA000081,JETSMART,National,2023-12-10T17:50:00Z,2023-12-10T17:50:00Z,2023-12-10T19:50:00Z,2023-12-10T19:50:00Z,Malargue,Malargue,M,Argentina,San Juan,San Juan,J,Argentina,02648573+
JA000082,JETSMART,National,2023-12-27T06:00:00Z,2023-12-27T06:00:00Z,2023-12-27T08:00:00Z,2023-12-27T08:00:00Z,San Juan,San Juan,J,Argentina,Resistencia,Resistencia,H,Argentina,04362287+
JA000083,JETSMART,National,2023-12-28T01:45:00Z,2023-12-28T01:45:00Z,2023-12-28T03:45:00Z,2023-12-28T03:45:00Z,Villa Mercedes,Villa Mercedes,D,Argentina,Malargue,Malargue,M,Argentina,02523729+
JA000084,JETSMART,National,2023-12-26T08:45:00Z,2023-12-26T08:45:00Z,2023-12-26T10:45:00Z,2023-12-26T10:45:00Z,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,El Palomar,Buenos Aires,B,Argentina,03083733+
JA000085,JETSMART,National,2024-01-03T21:10:00Z,2024-01-03T21:10:00Z,2024-01-03T23:10:00Z,2024-01-03T23:10:00Z,Reconquista,Reconquista,S,Argentina,Santiago del Estero,Santiago del Estero,G,Argentina,02734503+
JA000086,JETSMART,National,2023-12-15T17:05:00Z,2023-12-15T17:05:00Z,2023-12-15T19:05:00Z,2023-12-15T19:05:00Z,San Luis,San Luis,D,Argentina,Santa Rosa,Santa Rosa,L,Argentina,03482262+
JA000087,JETSMART,National,2023-12-21T10:40:00Z,2023-12-21T10:40:00Z,2023-12-21T12:40:00Z,2023-12-21T12:40:00Z,La Rioja,La Rioja,F,Argentina,Santa Rosa,Santa Rosa,L,Argentina,02524315+
JA000088,JETSMART,National,2023-12-21T19:15:00Z,2023-12-21T19:15:00Z,2023-12-21T21:15:00Z,2023-12-21T21:15:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,02543697+
JA000089,JETSMART,National,2023-12-17T10:15:00Z,2023-12-17T10:15:00Z,2023-12-17T12:15:00Z,2023-12-17T12:15:00Z,San Juan,San Juan,J,Argentina,San Luis,San Luis,D,Argentina,03540037+
JA000090,JETSMART,National,2023-12-15T18:00:00Z,2023-12-15T18:00:00Z,2023-12-15T20:00:00Z,2023-12-15T20:00:00Z,Santiago del Estero,Santiago del Estero,G,Argentina,Resistencia,Resistencia,H,Argentina,02795433+
JA000091,JETSMART,National,2023-12-24T15:10:00Z,2023-12-24T15:10:00Z,2023-12-24T17:10:00Z,2023-12-24T17:10:00Z,La Rioja,La Rioja,F,Argentina,Parana,Parana,E,Argentina,02824545+
JA000092,JETSMART,National,2023-12-08T22:30:00Z,2023-12-08T22:30:00Z,2023-12-09T00:30:00Z,2023-12-09T00:30:00Z,General Pico,General Pico,L,Argentina,Reconquista,Reconquista,S,Argentina,02685444+
JA000093,JETSMART,National,2023-12-25T19:55:00Z,2023-12-25T19:55:00Z,2023-12-25T21:55:00Z,2023-12-25T21:55:00Z,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,Salta,Salta,A,Argentina,03377113+
JA000094,JETSMART,National,2023-12-27T13:40:00Z,2023-12-27T13:40:00Z,2023-12-27T15:40:00Z,2023-12-27T15:40:00Z,Santa Rosa,Santa Rosa,L,Argentina,San Rafael,San Rafael,M,Argentina,04015695+
JA000095,JETSMART,National,2024-01-03T01:45:00Z,2024-01-03T01:45:00Z,2024-01-03T03:45:00Z,2024-01-03T03:45:00Z,Jujuy,San Salvador de Jujuy,Y,Argentina,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,02822412+
JA000096,JETSMART,National,2023-12-21T08:50:00Z,2023-12-21T08:50:00Z,2023-12-21T10:50:00Z,2023-12-21T10:50:00Z,Reconquista,Reconquista,S,Argentina,Salta,Salta,A,Argentina,03298178+
JA000097,JETSMART,National,2023-12-20T05:00:00Z,2023-12-20T05:00:00Z,2023-12-20T07:00:00Z,2023-12-20T07:00:00Z,Viedma,Viedma,R,Argentina,Iguazu,Puerto Iguazu,N,Argentina,02721248+
JA000098,JETSMART,National,2023-12-08T10:00:00Z,2023-12-08T10:00:00Z,2023-12-08T12:00:00Z,2023-12-08T12:00:00Z,Posadas,Posadas,N,Argentina,La Rioja,La Rioja,F,Argentina,03238061+
JA000099,JETSMART,National,2023-12-04T21:45:00Z,2023-12-04T21:45:00Z,2023-12-04T23:45:00Z,2023-12-04T23:45:00Z,Bariloche,San Carlos de Bariloche,R,Argentina,Posadas,Posadas,N,Argentina,00323517+
JA000100,JETSMART,National,2023-12-23T04:30:00Z,2023-12-23T04:30:00Z,2023-12-23T06:30:00Z,2023-12-23T06:30:00Z,Reconquista,Reconquista,S,Argentina,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,02692422+
JA000101,JETSMART,National,2024-01-01T15:15:00Z,2024-01-01T15:15:00Z,2024-01-01T17:15:00Z,2024-01-01T17:15:00Z,La Rioja,La Rioja,F,Argentina,Aeroparque,Ciudad de Buenos Aires,C,Argentina,02960661+
JA000102,JETSMART,National,2023-12-08T07:00:00Z,2023-12-08T07:00:00Z,2023-12-08T09:00:00Z,2023-12-08T09:00:00Z,San Juan,San Juan,J,Argentina,Malargue,Malargue,M,Argentina,00381567+
JA000103,JETSMART,National,2023-12-26T13:40:00Z,2023-12-26T13:40:00Z,2023-12-26T15:40:00Z,2023-12-26T15:40:00Z,Rio Hondo,Termas de Rio Hondo,G,Argentina,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,04037521+
JA000104,JETSMART,National,2024-01-02T05:15:00Z,2024-01-02T05:15:00Z,2024-01-02T07:15:00Z,2024-01-02T07:15:00Z,Mar del Plata,Mar del Plata,B,Argentina,Puerto Madryn,Puerto Madryn,U,Argentina,04162733+
JA000105,JETSMART,National,2023-12-06T17:25:00Z,2023-12-06T17:25:00Z,2023-12-06T19:25:00Z,2023-12-06T19:25:00Z,Ezeiza,Buenos Aires,B,Argentina,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,02584832+
JA000106,JETSMART,National,2023-12-28T01:55:00Z,2023-12-28T01:55:00Z,2023-12-28T03:55:00Z,2023-12-28T03:55:00Z,General Pico,General Pico,L,Argentina,Viedma,Viedma,R,Argentina,02852432+
JA000107,JETSMART,National,2023-12-09T10:45:00Z,2023-12-09T10:45:00Z,2023-12-09T12:45:00Z,2023-12-09T12:45:00Z,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,Tucuman,San Miguel de Tucuman,T,Argentina,03052325+
JA000108,JETSMART,National,2023-12-08T23:25:00Z,2023-12-08T23:25:00Z,2023-12-09T01:25:00Z,2023-12-09T01:25:00Z,Reconquista,Reconquista,S,Argentina,Tucuman,San Miguel de Tucuman,T,Argentina,04462086+
JA000109,JETSMART,National,2023-12-12T23:35:00Z,2023-12-12T23:35:00Z,2023-12-13T01:35:00Z,2023-12-13T01:35:00Z,Santa Rosa,Santa Rosa,L,Argentina,La Rioja,La Rioja,F,Argentina,03533953+
JA000110,JETSMART,National,2024-01-01T00:05:00Z,2024-01-01T00:05:00Z,2024-01-01T02:05:00Z,2024-01-01T02:05:00Z,San Luis,San Luis,D,Argentina,Rio Grande,Rio Grande,V,Argentina,03347139+
JA000111,JETSMART,National,2023-12-06T14:55:00Z,2023-12-06T14:55:00Z,2023-12-06T16:55:00Z,2023-12-06T16:55:00Z,Puerto Madryn,Puerto Madryn,U,Argentina,Jujuy,San Salvador de Jujuy,Y,Argentina,03150272+
JA000112,JETSMART,National,2023-12-04T17:20:00Z,2023-12-04T17:20:00Z,2023-12-04T19:20:00Z,2023-12-04T19:20:00Z,Bariloche,San Carlos de Bariloche,R,Argentina,El Palomar,Buenos Aires,B,Argentina,02583653+
JA000113,JETSMART,National,2023-12-06T21:40:00Z,2023-12-06T21:40:00Z,2023-12-06T23:40:00Z,2023-12-06T23:40:00Z,General Pico,General Pico,L,Argentina,Iguazu,Puerto Iguazu,N,Argentina,04022102+
JA000114,JETSMART,National,2023-12-08T15:55:00Z,2023-12-08T15:55:00Z,2023-12-08T17:55:00Z,2023-12-08T17:55:00Z,Jujuy,San Salvador de Jujuy,Y,Argentina,San Rafael,San Rafael,M,Argentina,02541091+
JA000115,JETSMART,National,2023-12-11T12:05:00Z,2023-12-11T12:05:00Z,2023-12-11T14:05:00Z,2023-12-11T14:05:00Z,La Rioja,La Rioja,F,Argentina,General Pico,General Pico,L,Argentina,03573164+
JA000116,JETSMART,National,2023-12-22T23:05:00Z,2023-12-22T23:05:00Z,2023-12-23T01:05:00Z,2023-12-23T01:05:00Z,San Luis,San Luis,D,Argentina,San Fernando,San Fernando,B,Argentina,03809532+
JA000117,JETSMART,National,2023-12-30T07:40:00Z,2023-12-30T07:40:00Z,2023-12-30T09:40:00Z,2023-12-30T09:40:00Z,Comodoro Rivadavia,Comodoro Rivadavia,U,Argentina,Rio Grande,Rio Grande,V,Argentina,02678493+
JA000118,JETSMART,National,2023-12-20T02:25:00Z,2023-12-20T02:25:00Z,2023-12-20T04:25:00Z,2023-12-20T04:25:00Z,San Fernando,San Fernando,B,Argentina,Catamarca,San Fernando del Valle de Catamarca,K,Argentina,04235076+
